Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
XXII,"22nd Century Group, Inc",0.8551,$118.73M,n/a,Consumer Non-Durables,Farming/Seeds/Milling,https://old.nasdaq.com/symbol/xxii
FAX,Aberdeen Asia-Pacific Income Fund Inc,3.71,$918.95M,1986,n/a,n/a,https://old.nasdaq.com/symbol/fax
IAF,Aberdeen Australia Equity Fund Inc,4.47,$101.66M,n/a,n/a,n/a,https://old.nasdaq.com/symbol/iaf
AEF,"Aberdeen Emerging Markets Equity Income Fund, Inc.",6.15,$312.12M,n/a,n/a,n/a,https://old.nasdaq.com/symbol/aef
FCO,"Aberdeen Global Income Fund, Inc.",6.32,$55.14M,1992,n/a,n/a,https://old.nasdaq.com/symbol/fco
ACU,Acme United Corporation.,21.96,$73.3M,1988,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/acu
ATNM,"Actinium Pharmaceuticals, Inc.",0.38,$115.27M,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/atnm
AE,"Adams Resources & Energy, Inc.",27.5,$116.48M,n/a,Energy,Oil Refining/Marketing,https://old.nasdaq.com/symbol/ae
ACY,AeroCentury Corp.,2.7807,$4.3M,n/a,Technology,Diversified Commercial Services,https://old.nasdaq.com/symbol/acy
UAVS,"AgEagle Aerial Systems, Inc.",1.31,$57.14M,n/a,Capital Goods,Aerospace,https://old.nasdaq.com/symbol/uavs
AGE,"AgeX Therapeutics, Inc.",0.8706,$32.78M,2018,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/age
AIRI,Air Industries Group,1.17,$35.78M,n/a,Capital Goods,Military/Government/Technical,https://old.nasdaq.com/symbol/airi
AXU,Alexco Resource Corp,1.98,$246.89M,n/a,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/axu
ALO,Alio Gold Inc.,0.9499,$81.69M,2011,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/alo
AAU,"Almaden Minerals, Ltd.",0.5015,$58.79M,2015,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/aau
APT,"Alpha Pro Tech, Ltd.",13.93,$189.14M,n/a,Health Care,Industrial Specialties,https://old.nasdaq.com/symbol/apt
AAMC,Altisource Asset Management Corp,16.76,$27.26M,n/a,Finance,Real Estate,https://old.nasdaq.com/symbol/aamc
AMBO,Ambow Education Holding Ltd.,2.15,$46.34M,n/a,Consumer Services,Other Consumer Services,https://old.nasdaq.com/symbol/ambo
DIT,AMCON Distributing Company,57.5,$32.52M,n/a,Consumer Non-Durables,Food Distributors,https://old.nasdaq.com/symbol/dit
AMS,American Shared Hospital Services,3.1,$17.63M,n/a,Health Care,Medical Specialities,https://old.nasdaq.com/symbol/ams
USAS,Americas Gold and Silver Corporation,2.31,$244.85M,2017,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/usas
AMPE,"Ampio Pharmaceuticals, Inc.",0.51,$84.07M,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/ampe
ANVS,"Annovis Bio, Inc.",5,$34.3M,2020,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/anvs
ARMP,"Armata Pharmaceuticals, Inc.",4.06,$75.7M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/armp
