Stock,Year,Month,Dividends
A,2012,Dec,0.1
A,2012,Jun,0.1
A,2012,Mar,0.1
A,2012,Sep,0.1
A,2013,Dec,0.132
A,2013,Jun,0.12
A,2013,Mar,0.12
A,2013,Sep,0.12
A,2014,Apr,0.132
A,2014,Jun,0.132
A,2014,Sep,0.132
A,2015,Dec,0.115
A,2015,Jan,0.1
A,2015,Jun,0.1
A,2015,Mar,0.1
A,2015,Sep,0.1
A,2016,Apr,0.115
A,2016,Dec,0.132
A,2016,Jun,0.115
A,2016,Sep,0.115
A,2017,Dec,0.149
A,2017,Jun,0.132
A,2017,Mar,0.132
A,2017,Oct,0.132
A,2018,Apr,0.149
A,2018,Dec,0.164
A,2018,Jul,0.149
A,2018,Oct,0.149
A,2019,Apr,0.164
A,2019,Dec,0.18
A,2019,Jul,0.164
A,2019,Sep,0.164
AA,2010,Aug,0.07209
AA,2010,Feb,0.07209
AA,2010,May,0.07209
AA,2010,Nov,0.07209
AA,2011,Aug,0.07209
AA,2011,Feb,0.07209
AA,2011,May,0.07209
AA,2011,Nov,0.07209
AA,2012,Aug,0.07209
AA,2012,Feb,0.07209
AA,2012,May,0.07209
AA,2012,Oct,0.07209
AA,2013,Aug,0.07209
AA,2013,Feb,0.07209
AA,2013,May,0.07209
AA,2013,Nov,0.07209
AA,2014,Aug,0.07209
AA,2014,Feb,0.07209
AA,2014,May,0.07209
AA,2014,Nov,0.07209
AA,2015,Aug,0.07209
AA,2015,Feb,0.07209
AA,2015,May,0.07209
AA,2015,Nov,0.07209
AA,2016,Aug,0.07209
AA,2016,Feb,0.07209
AA,2016,May,0.07209
AA,2016,Nov,0.09
AACG,2018,Aug,6.0
AAL,2014,Jul,0.1
AAL,2014,Oct,0.1
AAL,2015,Apr,0.1
AAL,2015,Aug,0.1
AAL,2015,Feb,0.1
AAL,2015,Nov,0.1
AAL,2016,Aug,0.1
AAL,2016,Feb,0.1
AAL,2016,May,0.1
AAL,2016,Nov,0.1
AAL,2017,Aug,0.1
AAL,2017,Feb,0.1
AAL,2017,May,0.1
AAL,2017,Nov,0.1
AAL,2018,Aug,0.1
AAL,2018,Feb,0.1
AAL,2018,May,0.1
AAL,2018,Nov,0.1
AAL,2019,Aug,0.1
AAL,2019,Feb,0.1
AAL,2019,May,0.1
AAL,2019,Nov,0.1
AAME,2011,Mar,0.02
AAME,2012,Dec,0.05
AAME,2012,Mar,0.02
AAME,2013,Mar,0.02
AAME,2014,Mar,0.02
AAME,2014,Nov,0.02
AAME,2015,Apr,0.02
AAME,2016,Apr,0.02
AAME,2017,Apr,0.02
AAME,2018,Apr,0.02
AAME,2019,Apr,0.02
AAN,2010,Aug,0.012
AAN,2010,Jun,0.012
AAN,2010,Mar,0.018
AAN,2010,Nov,0.013
AAN,2011,Aug,0.013
AAN,2011,Jun,0.013
AAN,2011,Mar,0.013
AAN,2011,Nov,0.015
AAN,2012,Aug,0.015
AAN,2012,Jun,0.015
AAN,2012,Mar,0.015
AAN,2012,Nov,0.017
AAN,2013,Aug,0.017
AAN,2013,Jun,0.017
AAN,2013,Mar,0.017
AAN,2013,Nov,0.021
AAN,2014,Aug,0.021
AAN,2014,Feb,0.021
AAN,2014,Jun,0.021
AAN,2014,Nov,0.023
AAN,2015,Jun,0.023
AAN,2015,Mar,0.023
AAN,2015,Nov,0.025
AAN,2015,Sep,0.023
AAN,2016,Aug,0.025
AAN,2016,Dec,0.0275
AAN,2016,Jun,0.025
AAN,2016,Mar,0.025
AAN,2017,Dec,0.03
AAN,2017,Jun,0.0275
AAN,2017,Mar,0.0275
AAN,2017,Sep,0.0275
AAN,2018,Dec,0.035
AAN,2018,Jun,0.03
AAN,2018,Mar,0.03
AAN,2018,Sep,0.03
AAN,2019,Dec,0.04
AAN,2019,Jun,0.035
AAN,2019,Mar,0.035
AAN,2019,Sep,0.035
AAON,2010,Jun,0.05333
AAON,2010,Nov,0.05333
AAON,2011,Jun,0.05333
AAON,2011,Nov,0.05333
AAON,2012,Jun,0.05333
AAON,2012,Nov,0.10667
AAON,2013,Jun,0.04444
AAON,2013,Nov,0.06667
AAON,2014,Jun,0.08667
AAON,2014,Nov,0.09
AAON,2015,Jun,0.11
AAON,2015,Nov,0.11
AAON,2016,Jun,0.11
AAON,2016,Nov,0.13
AAON,2017,Jun,0.13
AAON,2017,Nov,0.13
AAON,2018,Jun,0.16
AAON,2018,Nov,0.16
AAON,2019,May,0.16
AAON,2019,Nov,0.16
AAP,2010,Dec,0.06
AAP,2010,Jun,0.06
AAP,2010,Mar,0.06
AAP,2010,Sep,0.06
AAP,2011,Dec,0.06
AAP,2011,Jun,0.06
AAP,2011,Mar,0.06
AAP,2011,Sep,0.06
AAP,2012,Dec,0.06
AAP,2012,Jun,0.06
AAP,2012,Mar,0.06
AAP,2012,Sep,0.06
AAP,2013,Dec,0.06
AAP,2013,Jun,0.06
AAP,2013,Mar,0.06
AAP,2013,Sep,0.06
AAP,2014,Dec,0.06
AAP,2014,Jun,0.06
AAP,2014,Mar,0.06
AAP,2014,Sep,0.06
AAP,2015,Dec,0.06
AAP,2015,Jun,0.06
AAP,2015,Mar,0.06
AAP,2015,Sep,0.06
AAP,2016,Dec,0.06
AAP,2016,Jun,0.06
AAP,2016,Mar,0.06
AAP,2016,Sep,0.06
AAP,2017,Dec,0.06
AAP,2017,Jun,0.06
AAP,2017,Mar,0.06
AAP,2017,Sep,0.06
AAP,2018,Dec,0.06
AAP,2018,Jun,0.06
AAP,2018,Mar,0.06
AAP,2018,Sep,0.06
AAP,2019,Dec,0.06
AAP,2019,Jun,0.06
AAP,2019,Mar,0.06
AAP,2019,Sep,0.06
AAPL,2012,Aug,0.37857
AAPL,2012,Nov,0.37857
AAPL,2013,Aug,0.43571
AAPL,2013,Feb,0.37857
AAPL,2013,May,0.43571
AAPL,2013,Nov,0.43571
AAPL,2014,Aug,0.47
AAPL,2014,Feb,0.43571
AAPL,2014,May,0.47
AAPL,2014,Nov,0.47
AAPL,2015,Aug,0.52
AAPL,2015,Feb,0.47
AAPL,2015,May,0.52
AAPL,2015,Nov,0.52
AAPL,2016,Aug,0.57
AAPL,2016,Feb,0.52
AAPL,2016,May,0.57
AAPL,2016,Nov,0.57
AAPL,2017,Aug,0.63
AAPL,2017,Feb,0.57
AAPL,2017,May,0.63
AAPL,2017,Nov,0.63
AAPL,2018,Aug,0.73
AAPL,2018,Feb,0.63
AAPL,2018,May,0.73
AAPL,2018,Nov,0.73
AAPL,2019,Aug,0.77
AAPL,2019,Feb,0.73
AAPL,2019,May,0.77
AAPL,2019,Nov,0.77
AAT,2011,Dec,0.21
AAT,2011,Jun,0.21
AAT,2011,Mar,0.17
AAT,2011,Sep,0.21
AAT,2012,Dec,0.21
AAT,2012,Jun,0.21
AAT,2012,Mar,0.21
AAT,2012,Sep,0.21
AAT,2013,Dec,0.22
AAT,2013,Jun,0.21
AAT,2013,Mar,0.21
AAT,2013,Sep,0.21
AAT,2014,Dec,0.2325
AAT,2014,Jun,0.22
AAT,2014,Mar,0.22
AAT,2014,Sep,0.22
AAT,2015,Dec,0.25
AAT,2015,Jun,0.2325
AAT,2015,Mar,0.2325
AAT,2015,Sep,0.2325
AAT,2016,Dec,0.26
AAT,2016,Jun,0.25
AAT,2016,Mar,0.25
AAT,2016,Sep,0.25
AAT,2017,Dec,0.27
AAT,2017,Jun,0.26
AAT,2017,Mar,0.26
AAT,2017,Sep,0.26
AAT,2018,Dec,0.28
AAT,2018,Jun,0.27
AAT,2018,Mar,0.27
AAT,2018,Sep,0.27
AAT,2019,Dec,0.3
AAT,2019,Jun,0.28
AAT,2019,Mar,0.28
AAT,2019,Sep,0.28
AB,2010,Aug,0.31
AB,2010,Feb,0.62
AB,2010,May,0.46
AB,2010,Nov,0.12
AB,2011,Aug,0.34
AB,2011,Feb,0.42
AB,2011,May,0.42
AB,2011,Nov,0.26
AB,2012,Aug,0.21
AB,2012,Feb,0.12
AB,2012,May,0.26
AB,2012,Nov,0.36
AB,2013,Aug,0.41
AB,2013,Feb,0.4
AB,2013,May,0.38
AB,2013,Oct,0.4
AB,2014,Aug,0.45
AB,2014,Feb,0.6
AB,2014,May,0.39
AB,2014,Oct,0.45
AB,2015,Aug,0.48
AB,2015,Feb,0.57
AB,2015,May,0.45
AB,2015,Oct,0.43
AB,2016,Aug,0.4
AB,2016,Feb,0.5
AB,2016,May,0.4
AB,2016,Nov,0.45
AB,2017,Aug,0.49
AB,2017,Feb,0.67
AB,2017,May,0.46
AB,2017,Nov,0.51
AB,2018,Aug,0.62
AB,2018,Feb,0.84
AB,2018,May,0.73
AB,2018,Nov,0.69
AB,2019,Aug,0.56
AB,2019,Feb,0.64
AB,2019,May,0.49
AB,2019,Nov,0.63
ABB,2010,Jul,0.48
ABB,2011,May,0.64
ABB,2012,May,0.708
ABB,2013,Apr,0.738
ABB,2014,May,0.783
ABB,2015,Jul,0.18
ABB,2015,May,0.594
ABB,2016,Jul,0.762
ABB,2017,Apr,0.755
ABB,2018,Apr,0.826
ABB,2019,May,0.797
ABBV,2013,Apr,0.4
ABBV,2013,Jan,0.4
ABBV,2013,Jul,0.4
ABBV,2013,Oct,0.4
ABBV,2014,Apr,0.42
ABBV,2014,Jan,0.4
ABBV,2014,Jul,0.42
ABBV,2014,Oct,0.42
ABBV,2015,Apr,0.51
ABBV,2015,Jan,0.49
ABBV,2015,Jul,0.51
ABBV,2015,Oct,0.51
ABBV,2016,Apr,0.57
ABBV,2016,Jan,0.57
ABBV,2016,Jul,0.57
ABBV,2016,Oct,0.57
ABBV,2017,Apr,0.64
