Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Stock,Year,Month
2019-06-20,1933.33,1935.2,1905.8,1918.19,3217200,0.0,0,AMZN,2019,Jun
2019-06-21,1916.1,1925.95,1907.58,1911.3,3933600,0.0,0,AMZN,2019,Jun
2019-06-24,1912.66,1916.86,1901.3,1913.9,2283000,0.0,0,AMZN,2019,Jun
2019-06-25,1911.84,1916.39,1872.42,1878.27,3012300,0.0,0,AMZN,2019,Jun
2019-06-26,1892.48,1903.8,1887.32,1897.83,2441900,0.0,0,AMZN,2019,Jun
2019-06-27,1902.0,1911.24,1898.04,1904.28,2141700,0.0,0,AMZN,2019,Jun
2019-06-28,1909.1,1912.94,1884.0,1893.63,3037400,0.0,0,AMZN,2019,Jun
2019-07-01,1922.98,1929.82,1914.66,1922.19,3203300,0.0,0,AMZN,2019,Jul
2019-07-02,1919.38,1934.79,1906.63,1934.31,2645900,0.0,0,AMZN,2019,Jul
2019-07-03,1935.89,1941.59,1930.5,1939.0,1690300,0.0,0,AMZN,2019,Jul
2019-07-05,1928.6,1945.9,1925.3,1942.91,2628400,0.0,0,AMZN,2019,Jul
2019-07-08,1934.12,1956.0,1928.25,1952.32,2883400,0.0,0,AMZN,2019,Jul
2019-07-09,1947.8,1990.01,1943.48,1988.3,4345700,0.0,0,AMZN,2019,Jul
2019-07-10,1996.51,2024.94,1995.4,2017.41,4931900,0.0,0,AMZN,2019,Jul
2019-07-11,2025.62,2035.8,1995.3,2001.07,4317800,0.0,0,AMZN,2019,Jul
2019-07-12,2008.27,2017.0,2003.87,2011.0,2509300,0.0,0,AMZN,2019,Jul
2019-07-15,2021.4,2022.9,2001.55,2020.99,2981300,0.0,0,AMZN,2019,Jul
2019-07-16,2010.58,2026.32,2001.22,2009.9,2618200,0.0,0,AMZN,2019,Jul
2019-07-17,2007.05,2012.0,1992.03,1992.03,2558800,0.0,0,AMZN,2019,Jul
2019-07-18,1980.01,1987.5,1951.55,1977.9,3504300,0.0,0,AMZN,2019,Jul
2019-07-19,1991.21,1996.0,1962.23,1964.52,3185600,0.0,0,AMZN,2019,Jul
2019-07-22,1971.14,1989.0,1958.26,1985.63,2900000,0.0,0,AMZN,2019,Jul
2019-07-23,1995.99,1997.79,1973.13,1994.49,2703500,0.0,0,AMZN,2019,Jul
2019-07-24,1969.3,2001.3,1965.87,2000.81,2631300,0.0,0,AMZN,2019,Jul
2019-07-25,2001.0,2001.2,1972.72,1973.82,4136500,0.0,0,AMZN,2019,Jul
2019-07-26,1942.0,1950.9,1924.51,1943.05,4927100,0.0,0,AMZN,2019,Jul
2019-07-29,1930.0,1932.23,1890.54,1912.45,4493200,0.0,0,AMZN,2019,Jul
2019-07-30,1891.12,1909.89,1883.48,1898.53,2910900,0.0,0,AMZN,2019,Jul
2019-07-31,1898.11,1899.55,1849.44,1866.78,4470700,0.0,0,AMZN,2019,Jul
2019-08-01,1871.72,1897.92,1844.01,1855.32,4713300,0.0,0,AMZN,2019,Aug
2019-08-02,1845.07,1846.36,1808.02,1823.24,4956200,0.0,0,AMZN,2019,Aug
