Stock,Year,Month,Stock Splits
A,2014,Nov,1.398
AA,1999,Feb,2.0
AA,2000,Jun,2.0
AA,2016,Nov,1.2484394506866416
AA,2016,Oct,0.3333333333333333
AAN,2003,Aug,1.5
AAN,2004,Aug,1.5
AAN,2010,Apr,1.5
AAON,2001,Oct,1.5
AAON,2002,Jun,1.5
AAON,2007,Aug,1.5
AAON,2011,Jun,1.5
AAON,2013,Jul,1.5
AAON,2014,Jul,1.5
AAP,2004,Jan,2.0
AAP,2005,Sep,1.5
AAPL,2000,Jun,2.0
AAPL,2005,Feb,2.0
AAPL,2014,Jun,7.0
AAXN,2004,Apr,2.0
AAXN,2004,Feb,3.0
AAXN,2004,Nov,2.0
ABC,1999,Mar,2.0
ABC,2005,Dec,2.0
ABC,2009,Jun,2.0
ABCB,1999,Dec,1.2
ABCB,2005,Mar,1.2
ABCB,2009,Dec,1.0076923076923077
ABCB,2009,Sep,1.0076923076923077
ABCB,2010,Jun,1.0047619047619047
ABCB,2010,Mar,1.0076923076923077
ABEO,2006,Jun,0.2
ABEO,2014,Oct,0.02
ABEV,2000,Oct,1.0
ABEV,2005,Jun,1.2
ABEV,2010,Dec,5.0
ABEV,2013,Nov,5.0
ABG,2005,Dec,0.5
ABG,2009,Jun,0.5
ABIO,2004,Feb,0.3333333333333333
ABIO,2009,Jan,0.05
ABIO,2013,Mar,0.16666666666666666
ABIO,2015,Sep,0.14285714285714285
ABIO,2019,Apr,0.05555555555555555
ABM,2002,May,2.0
ABMD,2000,Oct,2.0
ABR,2012,Aug,10.0
ABT,2004,May,1.0688328345446771
ABT,2013,Jan,2.084201750729471
ABUS,2010,Nov,0.2
ACER,2004,Apr,0.02
ACER,2006,Jun,0.1
ACER,2012,Dec,0.25
ACER,2015,Sep,0.125
ACER,2017,Sep,0.096
ACGL,2011,May,3.0
ACGL,2018,Jun,3.0
ACH,2006,Oct,4.0
ACHC,2011,May,1.01
ACHC,2011,Nov,0.25
ACHV,2008,Aug,0.05555555555555555
ACHV,2017,Aug,0.09090909090909091
ACHV,2018,May,0.1
ACIW,2014,Jul,3.0
ACLS,2016,Jul,0.25
ACLS,2016,Jun,0.25
ACN,2011,Dec,10.0
ACNB,2006,Nov,1.05
ACNB,2007,Nov,1.05
ACST,2015,Oct,0.1
ADBE,1999,Oct,2.0
ADBE,2000,Oct,2.0
ADBE,2005,May,2.0
ADES,2014,Mar,2.0
ADI,2000,Mar,2.0
ADM,1999,Aug,1.05
ADM,2000,Aug,1.05
ADM,2001,Aug,1.05
ADMP,2009,Apr,0.1
ADMP,2013,Dec,0.058823529411764705
ADP,1999,Jan,2.0
