Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Stock,Year,Month
1999-01-01,54.61,99.56,46.28,58.47,646348800.0,0.0,0.0,AMZN,1999,Jan
1999-02-01,58.88,65.0,42.12,64.06,318146000.0,0.0,0.0,AMZN,1999,Feb
1999-03-01,63.5,89.0,57.0,86.09,331010000.0,0.0,0.0,AMZN,1999,Mar
1999-04-01,89.69,110.62,75.5,86.03,363285400.0,0.0,0.0,AMZN,1999,Apr
1999-05-01,83.44,83.53,52.25,59.38,303767800.0,0.0,0.0,AMZN,1999,May
1999-06-01,55.75,64.75,44.88,62.56,364747400.0,0.0,0.0,AMZN,1999,Jun
1999-07-01,62.62,71.25,48.75,50.03,388650400.0,0.0,0.0,AMZN,1999,Jul
1999-08-01,49.19,67.78,41.0,62.19,459085800.0,0.0,0.0,AMZN,1999,Aug
1999-09-01,63.5,85.0,57.38,79.94,321616800.0,0.0,0.0,AMZN,1999,Sep
1999-10-01,77.0,90.0,65.88,70.62,254311500.0,0.0,0.0,AMZN,1999,Oct
1999-11-01,68.06,96.88,61.0,85.06,281070200.0,0.0,0.0,AMZN,1999,Nov
1999-12-01,87.25,113.0,76.0,76.12,246476100.0,0.0,0.0,AMZN,1999,Dec
2000-01-01,81.5,91.5,58.44,64.56,262209000.0,0.0,0.0,AMZN,2000,Jan
2000-02-01,67.5,85.94,63.06,68.88,207457700.0,0.0,0.0,AMZN,2000,Feb
2000-03-01,67.62,75.25,60.0,67.0,156584600.0,0.0,0.0,AMZN,2000,Mar
2000-04-01,65.44,68.62,40.81,55.19,162012500.0,0.0,0.0,AMZN,2000,Apr
2000-05-01,56.0,62.38,40.44,48.31,130688600.0,0.0,0.0,AMZN,2000,May
2000-06-01,48.88,58.12,32.47,36.31,203140900.0,0.0,0.0,AMZN,2000,Jun
2000-07-01,36.69,43.94,27.88,30.12,198524600.0,0.0,0.0,AMZN,2000,Jul
2000-08-01,30.62,43.97,29.31,41.5,144464700.0,0.0,0.0,AMZN,2000,Aug
2000-09-01,42.12,49.62,35.5,38.44,133739700.0,0.0,0.0,AMZN,2000,Sep
2000-10-01,38.19,38.44,19.38,36.62,246733500.0,0.0,0.0,AMZN,2000,Oct
2000-11-01,35.81,40.88,22.12,24.69,159338900.0,0.0,0.0,AMZN,2000,Nov
2000-12-01,24.94,27.62,14.88,15.56,202112900.0,0.0,0.0,AMZN,2000,Dec
2001-01-01,15.81,22.38,13.56,17.31,210486800.0,0.0,0.0,AMZN,2001,Jan
2001-02-01,17.19,17.19,9.94,10.19,167374100.0,0.0,0.0,AMZN,2001,Feb
2001-03-01,9.88,14.0,9.56,10.23,167635900.0,0.0,0.0,AMZN,2001,Mar
2001-04-01,10.33,18.16,8.1,15.78,189780400.0,0.0,0.0,AMZN,2001,Apr
2001-05-01,15.9,17.6,13.1,16.69,144686700.0,0.0,0.0,AMZN,2001,May
2001-06-01,17.22,17.92,11.2,14.15,136695900.0,0.0,0.0,AMZN,2001,Jun
2001-07-01,14.1,17.42,11.07,12.49,172078700.0,0.0,0.0,AMZN,2001,Jul
2001-08-01,12.73,12.86,8.55,8.94,100687300.0,0.0,0.0,AMZN,2001,Aug
2001-09-01,8.95,9.19,5.67,5.97,126843400.0,0.0,0.0,AMZN,2001,Sep
2001-10-01,5.91,9.99,5.51,6.98,169882800.0,0.0,0.0,AMZN,2001,Oct
2001-11-01,7.08,12.4,6.6,11.32,310965300.0,0.0,0.0,AMZN,2001,Nov
2001-12-01,11.02,12.8,9.51,10.82,212455500.0,0.0,0.0,AMZN,2001,Dec
2002-01-01,10.93,15.77,9.03,14.19,322739200.0,0.0,0.0,AMZN,2002,Jan
2002-02-01,14.07,14.75,11.06,14.1,163988900.0,0.0,0.0,AMZN,2002,Feb
2002-03-01,14.13,16.96,13.55,14.3,164817800.0,0.0,0.0,AMZN,2002,Mar
2002-04-01,14.28,17.05,12.52,16.69,158958600.0,0.0,0.0,AMZN,2002,Apr
2002-05-01,16.55,20.4,15.75,18.23,154840500.0,0.0,0.0,AMZN,2002,May
2002-06-01,18.31,19.16,14.68,16.25,142617800.0,0.0,0.0,AMZN,2002,Jun
2002-07-01,16.17,17.16,12.26,14.45,176592200.0,0.0,0.0,AMZN,2002,Jul
2002-08-01,14.31,15.99,12.78,14.94,115341600.0,0.0,0.0,AMZN,2002,Aug
2002-09-01,14.71,17.93,14.24,15.93,146027000.0,0.0,0.0,AMZN,2002,Sep
2002-10-01,16.23,20.26,16.01,19.36,203538600.0,0.0,0.0,AMZN,2002,Oct
2002-11-01,19.22,24.5,18.2,23.35,206336300.0,0.0,0.0,AMZN,2002,Nov
2002-12-01,24.15,25.0,18.43,18.89,155610600.0,0.0,0.0,AMZN,2002,Dec
2003-01-01,19.19,23.28,18.55,21.85,169197200.0,0.0,0.0,AMZN,2003,Jan
2003-02-01,21.94,22.5,19.61,22.01,115941900.0,0.0,0.0,AMZN,2003,Feb
2003-03-01,22.15,28.04,21.36,26.03,164093600.0,0.0,0.0,AMZN,2003,Mar
2003-04-01,25.55,29.19,24.13,28.69,219644300.0,0.0,0.0,AMZN,2003,Apr
2003-05-01,28.68,36.09,28.15,35.89,190833800.0,0.0,0.0,AMZN,2003,May
2003-06-01,36.5,37.24,32.83,36.32,171470800.0,0.0,0.0,AMZN,2003,Jun
2003-07-01,36.33,43.1,34.0,41.64,229239500.0,0.0,0.0,AMZN,2003,Jul
2003-08-01,41.41,46.95,38.28,46.32,150718900.0,0.0,0.0,AMZN,2003,Aug
2003-09-01,46.52,51.3,44.73,48.43,202836400.0,0.0,0.0,AMZN,2003,Sep
2003-10-01,48.37,61.15,47.51,54.43,288225300.0,0.0,0.0,AMZN,2003,Oct
2003-11-01,54.8,57.49,47.67,53.97,181979000.0,0.0,0.0,AMZN,2003,Nov
2003-12-01,54.4,54.94,47.0,52.62,193675200.0,0.0,0.0,AMZN,2003,Dec
2004-01-01,52.76,57.82,48.6,50.4,217934700.0,0.0,0.0,AMZN,2004,Jan
2004-02-01,50.65,50.65,42.23,43.01,185747700.0,0.0,0.0,AMZN,2004,Feb
2004-03-01,43.02,45.06,39.15,43.28,154770500.0,0.0,0.0,AMZN,2004,Mar
2004-04-01,43.45,49.1,43.3,43.6,162636600.0,0.0,0.0,AMZN,2004,Apr
2004-05-01,43.48,48.68,40.55,48.5,150196500.0,0.0,0.0,AMZN,2004,May
2004-06-01,47.87,54.7,47.7,54.4,161251200.0,0.0,0.0,AMZN,2004,Jun
2004-07-01,53.8,54.04,37.38,38.92,202437000.0,0.0,0.0,AMZN,2004,Jul
2004-08-01,38.45,40.83,34.85,38.14,180022400.0,0.0,0.0,AMZN,2004,Aug
2004-09-01,38.23,44.28,37.36,40.86,176176900.0,0.0,0.0,AMZN,2004,Sep
2004-10-01,41.29,42.7,33.0,34.13,208568400.0,0.0,0.0,AMZN,2004,Oct
2004-11-01,34.22,41.5,34.15,39.68,168474900.0,0.0,0.0,AMZN,2004,Nov
2004-12-01,40.0,45.68,37.99,44.29,176014800.0,0.0,0.0,AMZN,2004,Dec
2005-01-01,44.95,45.44,40.26,43.22,194935200.0,0.0,0.0,AMZN,2005,Jan
2005-02-01,43.0,43.54,33.2,35.18,218655100.0,0.0,0.0,AMZN,2005,Feb
2005-03-01,35.06,36.43,32.82,34.27,119566600.0,0.0,0.0,AMZN,2005,Mar
